TOTAL,F,MED_E,NAC,SE	241395 	236392 	228887 	224493 	218150 	216158 	209545 	199241 	194939 	192255 	181806 b	170961 	163814 	155744 	154251 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,SI	13030 	12510 	12128 	12148 	11762 	11667 	11891 	11798 	11559 	11660 	10678 	9707 	2190553 	2070895 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,SK	: 	7104 	6901 	6750 	6660 	6630 	6759 	6236 	6009 	5518 	157298 	143802 	125505 	110618 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,TR	: 	12730 	11203 	9800 	8753 	7886 	7438 	6567 	5886 	5740 	5109 	4804 	3903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,UK	: 	17984 b	16968 	16549 	16178 	15475 	15197 b	14518 	14334 	14205 	14711 	14015 	12897 	12265 b	: 	: 	10408 	9832 	9047 	9010 	8553 	8200 	7764 
TOTAL,F,MED_E,PPS,AT	22728 	23043 	22592 	21490 	21196 	20484 	20013 	19936 	19060 	19054 	18371 b	17448 	17056 	16849 	16073 	14769 b	15139 	14348 	13143 	12941 	12719 	12390 	12171 
TOTAL,F,MED_E,PPS,BE	20935 	20228 	20599 	19330 	19126 	19012 	17859 	17589 	16885 	17072 	16378 	15925 	15688 	15068 	14412 	14775 b	15066 	14055 	14093 	13799 	13349 	12569 	12458 
TOTAL,F,MED_E,PPS,BG	7003 	7296 	6512 b	6685 	6649 	5771 	5530 	5630 	5706 	5617 	4676 	3207 	3147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CH	26427 	26337 	26965 	25767 	25148 b	25095 	23377 	22234 	21635 	21789 	20885 	20139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CY	16985 	16116 	15981 	15118 	15527 	16693 	18595 	18699 	17646 	18252 	17847 b	18003 	16005 	14630 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,CZ	12903 	12363 	12138 	11307 	10795 	10520 	10035 	9751 	9443 	9854 	9444 	8650 	8075 	7492 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,DE	21223 	20664 	20623 	19941 	18813 	18966 	18759 	18064 	17247 	17600 	17614 	16926 	14916 	15387 b	: 	: 	15501 	14478 	13570 	13270 	12893 	12354 	11654 
TOTAL,F,MED_E,PPS,DK	21325 	20850 	20815 	19947 	19655 	19412 	18870 	18838 b	17535 	17572 	17164 	16522 	15733 	15427 	14687 	15237 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EA	18183 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EA18	18254 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
